,date,time,open,high,low,close,feature1,feature2,feature3,tick,tick_variation,datetime
5921,2024-02-11,23:15:00,2497.3,2497.7,2494.8,2495.5,1,1,1,78226,-8.948031119550456e-05,2024-02-11 23:15:00
5922,2024-02-11,23:30:00,2495.6,2500.3,2495.6,2499.5,1,1,1,78242,0.00020451466185766198,2024-02-11 23:30:00
5923,2024-02-11,23:45:00,2499.4,2502.6,2499.4,2501.9,1,1,1,78252,0.0001278004270273869,2024-02-11 23:45:00
5924,2024-02-12,00:00:00,2501.4,2502.6,2500.0,2502.5,1,1,1,78254,2.5558125568544984e-05,2024-02-12 00:00:00
5925,2024-02-12,00:15:00,2502.6,2504.4,2500.4,2503.4,1,1,1,78258,5.111429156715228e-05,2024-02-12 00:15:00
5926,2024-02-12,00:30:00,2503.5,2504.1,2501.7,2503.5,1,1,1,78258,0.0,2024-02-12 00:30:00
5927,2024-02-12,00:45:00,2503.5,2504.4,2497.6,2498.3,1,1,1,78238,-0.000255597588550324,2024-02-12 00:45:00
5928,2024-02-12,01:00:00,2498.1,2501.9,2496.7,2497.0,1,1,1,78232,-7.669201767676602e-05,2024-02-12 01:00:00
5929,2024-02-12,01:15:00,2497.0,2501.2,2495.8,2501.0,1,1,1,78248,0.0002044989782178026,2024-02-12 01:15:00
5930,2024-02-12,01:30:00,2501.1,2501.6,2500.1,2500.1,1,1,1,78245,-3.834037305657972e-05,2024-02-12 01:30:00
5931,2024-02-12,01:45:00,2500.0,2505.0,2500.0,2504.7,1,1,1,78263,0.00023002019167547443,2024-02-12 01:45:00
5932,2024-02-12,02:00:00,2504.6,2510.0,2502.9,2507.2,1,1,1,78273,0.00012776613703690146,2024-02-12 02:00:00
5933,2024-02-12,02:15:00,2507.3,2522.6,2507.3,2519.5,1,1,1,78322,0.0006258182138540185,2024-02-12 02:15:00
5934,2024-02-12,02:30:00,2519.6,2521.5,2514.6,2515.8,1,1,1,78307,-0.00019153541229090105,2024-02-12 02:30:00
5935,2024-02-12,02:45:00,2515.4,2515.4,2509.5,2512.6,1,1,1,78295,-0.00015325474800433793,2024-02-12 02:45:00
5936,2024-02-12,03:00:00,2512.6,2512.9,2503.6,2508.1,1,1,1,78277,-0.00022992616916564984,2024-02-12 03:00:00
5937,2024-02-12,03:15:00,2508.2,2513.5,2507.1,2511.4,1,1,1,78290,0.00016606309158223226,2024-02-12 03:15:00
5938,2024-02-12,03:30:00,2511.3,2511.3,2504.3,2508.3,1,1,1,78278,-0.0001532880285051086,2024-02-12 03:30:00
5939,2024-02-12,03:45:00,2508.4,2513.1,2507.0,2512.6,1,1,1,78295,0.000217151106088601,2024-02-12 03:45:00
5940,2024-02-12,04:00:00,2512.6,2515.7,2510.1,2510.5,1,1,1,78286,-0.00011495647632743107,2024-02-12 04:00:00
5941,2024-02-12,04:15:00,2510.4,2510.4,2507.6,2507.6,1,1,1,78275,-0.00014052030860944146,2024-02-12 04:15:00
5942,2024-02-12,04:30:00,2507.9,2508.7,2499.5,2501.1,1,1,1,78249,-0.0003322174265815879,2024-02-12 04:30:00
5943,2024-02-12,04:45:00,2501.1,2501.1,2491.1,2500.7,1,1,1,78247,-2.555975871723842e-05,2024-02-12 04:45:00
5944,2024-02-12,05:00:00,2500.7,2502.2,2497.0,2498.8,1,1,1,78240,-8.946430060861796e-05,2024-02-12 05:00:00
5945,2024-02-12,05:15:00,2498.7,2498.8,2495.4,2498.2,1,1,1,78237,-3.834429341527268e-05,2024-02-12 05:15:00
5946,2024-02-12,05:30:00,2498.6,2500.5,2497.2,2500.4,1,1,1,78246,0.00011502846967300602,2024-02-12 05:30:00
5947,2024-02-12,05:45:00,2500.5,2501.8,2497.0,2497.4,1,1,1,78234,-0.00015337423342954285,2024-02-12 05:45:00
5948,2024-02-12,06:00:00,2497.6,2498.6,2495.7,2495.8,1,1,1,78228,-7.669593898767864e-05,2024-02-12 06:00:00
5949,2024-02-12,06:15:00,2495.6,2499.1,2494.4,2498.0,1,1,1,78236,0.00010225994486873803,2024-02-12 06:15:00
5950,2024-02-12,06:30:00,2498.0,2498.0,2493.5,2494.0,1,1,1,78220,-0.00020453034790321751,2024-02-12 06:30:00
5951,2024-02-12,06:45:00,2494.1,2495.6,2491.8,2492.8,1,1,1,78216,-5.11391239979041e-05,2024-02-12 06:45:00
